,CATEGORY,PARENT_CATEGORY,BRAND,OFFER,RETAILER,OFFER_PREPROCESSED
0,red pasta sauce,pasta sauce,barilla,Barilla® Pesto Sauce,nan,barilla pesto sauce
1,red pasta sauce,pasta sauce,barilla,"Barilla® Pasta, select varieties, buy 2",nan,barilla pasta select varieties buy 2
2,red pasta sauce,pasta sauce,barilla,"Barilla® pasta, select varieties, buy 3",nan,barilla pasta select varieties buy 3
3,red pasta sauce,pasta sauce,barilla,"Barilla® pasta, select varieties, buy 4",nan,barilla pasta select varieties buy 4
4,red pasta sauce,pasta sauce,barilla,"Barilla® pasta, select varieties, buy 2",nan,barilla pasta select varieties buy 2
5,dry pasta,pasta noodles,barilla,Barilla® Pesto Sauce,nan,barilla pesto sauce
6,dry pasta,pasta noodles,barilla,"Barilla® Pasta, select varieties, buy 2",nan,barilla pasta select varieties buy 2
7,dry pasta,pasta noodles,barilla,"Barilla® pasta, select varieties, buy 3",nan,barilla pasta select varieties buy 3
8,dry pasta,pasta noodles,barilla,"Barilla® pasta, select varieties, buy 4",nan,barilla pasta select varieties buy 4
9,dry pasta,pasta noodles,barilla,"Barilla® pasta, select varieties, buy 2",nan,barilla pasta select varieties buy 2
10,chips,snacks,barilla,Barilla® Pesto Sauce,nan,barilla pesto sauce
11,chips,snacks,barilla,"Barilla® Pasta, select varieties, buy 2",nan,barilla pasta select varieties buy 2
12,chips,snacks,barilla,"Barilla® pasta, select varieties, buy 3",nan,barilla pasta select varieties buy 3
13,chips,snacks,barilla,"Barilla® pasta, select varieties, buy 4",nan,barilla pasta select varieties buy 4
14,chips,snacks,barilla,"Barilla® pasta, select varieties, buy 2",nan,barilla pasta select varieties buy 2
15,pesto sauce,pasta sauce,barilla,Barilla® Pesto Sauce,nan,barilla pesto sauce
16,pesto sauce,pasta sauce,barilla,"Barilla® Pasta, select varieties, buy 2",nan,barilla pasta select varieties buy 2
17,pesto sauce,pasta sauce,barilla,"Barilla® pasta, select varieties, buy 3",nan,barilla pasta select varieties buy 3
18,pesto sauce,pasta sauce,barilla,"Barilla® pasta, select varieties, buy 4",nan,barilla pasta select varieties buy 4
19,pesto sauce,pasta sauce,barilla,"Barilla® pasta, select varieties, buy 2",nan,barilla pasta select varieties buy 2
20,red pasta sauce,pasta sauce,raos,"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",nan,michael angelos or raos frozen entrees spend 10
21,red pasta sauce,pasta sauce,raos,Rao's® Frozen Pizza,nan,raos frozen pizza
22,red pasta sauce,pasta sauce,raos,"Rao's®, Pasta OR Sauce, spend $10",nan,raos pasta or sauce spend 10
23,alfredo white pasta sauce,pasta sauce,raos,"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",nan,michael angelos or raos frozen entrees spend 10
24,alfredo white pasta sauce,pasta sauce,raos,Rao's® Frozen Pizza,nan,raos frozen pizza
25,alfredo white pasta sauce,pasta sauce,raos,"Rao's®, Pasta OR Sauce, spend $10",nan,raos pasta or sauce spend 10
26,frozen meals,frozen,raos,"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",nan,michael angelos or raos frozen entrees spend 10
27,frozen meals,frozen,raos,Rao's® Frozen Pizza,nan,raos frozen pizza
28,frozen meals,frozen,raos,"Rao's®, Pasta OR Sauce, spend $10",nan,raos pasta or sauce spend 10
29,condiments,pantry,raos,"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",nan,michael angelos or raos frozen entrees spend 10
30,condiments,pantry,raos,Rao's® Frozen Pizza,nan,raos frozen pizza
31,condiments,pantry,raos,"Rao's®, Pasta OR Sauce, spend $10",nan,raos pasta or sauce spend 10
32,soup broth,pantry,raos,"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",nan,michael angelos or raos frozen entrees spend 10
33,soup broth,pantry,raos,Rao's® Frozen Pizza,nan,raos frozen pizza
34,soup broth,pantry,raos,"Rao's®, Pasta OR Sauce, spend $10",nan,raos pasta or sauce spend 10
35,dry pasta,pasta noodles,raos,"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",nan,michael angelos or raos frozen entrees spend 10
36,dry pasta,pasta noodles,raos,Rao's® Frozen Pizza,nan,raos frozen pizza
37,dry pasta,pasta noodles,raos,"Rao's®, Pasta OR Sauce, spend $10",nan,raos pasta or sauce spend 10
38,sauces marinades,pantry,raos,"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",nan,michael angelos or raos frozen entrees spend 10
39,sauces marinades,pantry,raos,Rao's® Frozen Pizza,nan,raos frozen pizza
40,sauces marinades,pantry,raos,"Rao's®, Pasta OR Sauce, spend $10",nan,raos pasta or sauce spend 10
41,frozen pizza pizza snacks,frozen,raos,"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",nan,michael angelos or raos frozen entrees spend 10
42,frozen pizza pizza snacks,frozen,raos,Rao's® Frozen Pizza,nan,raos frozen pizza
43,frozen pizza pizza snacks,frozen,raos,"Rao's®, Pasta OR Sauce, spend $10",nan,raos pasta or sauce spend 10
44,pesto sauce,pasta sauce,raos,"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",nan,michael angelos or raos frozen entrees spend 10
45,pesto sauce,pasta sauce,raos,Rao's® Frozen Pizza,nan,raos frozen pizza
46,pesto sauce,pasta sauce,raos,"Rao's®, Pasta OR Sauce, spend $10",nan,raos pasta or sauce spend 10
47,pasta noodles,pantry,raos,"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",nan,michael angelos or raos frozen entrees spend 10
48,pasta noodles,pantry,raos,Rao's® Frozen Pizza,nan,raos frozen pizza
49,pasta noodles,pantry,raos,"Rao's®, Pasta OR Sauce, spend $10",nan,raos pasta or sauce spend 10
50,cooking baking,pantry,goya,GOYA® Coconut Water,nan,goya coconut water
51,cooking baking,pantry,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
52,packaged seafood,pantry,goya,GOYA® Coconut Water,nan,goya coconut water
53,packaged seafood,pantry,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
54,frozen fruits,frozen,goya,GOYA® Coconut Water,nan,goya coconut water
55,frozen fruits,frozen,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
56,nut butters jam,pantry,goya,GOYA® Coconut Water,nan,goya coconut water
57,nut butters jam,pantry,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
58,frozen meals,frozen,goya,GOYA® Coconut Water,nan,goya coconut water
59,frozen meals,frozen,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
60,dips salsa,snacks,goya,GOYA® Coconut Water,nan,goya coconut water
61,dips salsa,snacks,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
62,crackers,snacks,goya,GOYA® Coconut Water,nan,goya coconut water
63,crackers,snacks,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
64,soup broth,pantry,goya,GOYA® Coconut Water,nan,goya coconut water
65,soup broth,pantry,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
66,malt beverages,alcohol,goya,GOYA® Coconut Water,nan,goya coconut water
67,malt beverages,alcohol,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
68,dry pasta,pasta noodles,goya,GOYA® Coconut Water,nan,goya coconut water
69,dry pasta,pasta noodles,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
70,drink mixes,beverages,goya,GOYA® Coconut Water,nan,goya coconut water
71,drink mixes,beverages,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
72,deli counter,deli bakery,goya,GOYA® Coconut Water,nan,goya coconut water
73,deli counter,deli bakery,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
74,milk,dairy,goya,GOYA® Coconut Water,nan,goya coconut water
75,milk,dairy,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
76,bread,pantry,goya,GOYA® Coconut Water,nan,goya coconut water
77,bread,pantry,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
78,sauces marinades,pantry,goya,GOYA® Coconut Water,nan,goya coconut water
79,sauces marinades,pantry,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
80,cookies,snacks,goya,GOYA® Coconut Water,nan,goya coconut water
81,cookies,snacks,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
82,frozen vegetables,frozen,goya,GOYA® Coconut Water,nan,goya coconut water
83,frozen vegetables,frozen,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
84,water,beverages,goya,GOYA® Coconut Water,nan,goya coconut water
85,water,beverages,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
86,pickled goods,pantry,goya,GOYA® Coconut Water,nan,goya coconut water
87,pickled goods,pantry,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
88,packaged meat,pantry,goya,GOYA® Coconut Water,nan,goya coconut water
89,packaged meat,pantry,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
90,pasta noodles,pantry,goya,GOYA® Coconut Water,nan,goya coconut water
91,pasta noodles,pantry,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
92,fruit juices,beverages,goya,GOYA® Coconut Water,nan,goya coconut water
93,fruit juices,beverages,goya,"GOYA® Adobo Seasoning, 8 ounce+",nan,goya adobo seasoning 8 ounce
94,packaged vegetables,pantry,goya,GOYA® Coconut Water,nan,goya coconut water
